ID,userName,password,firstName,lastName,phoneNumber,emailAddress,isReviewer,isAdmin
56,ADamrod75,ra*bbiT11,Angie,Damrod,314-808-9536,thampton@everyma1l.net,0,1
57,EThorondor49,Bui)ld76,Eleanor,Thorondor,405-041-5016,,0,0
58,ATelchar58,vis)Ions44,Aileen,Telchar,513-296-6499,mroman@everyma1l.com,0,1
59,JNesa67,wi#ckeT07,Judith,Nesa,307-462-3840,mfields@b1zmail.biz,0,1
60,AQuickbeam64,caPt$ain20,Amy,Quickbeam,802-585-9242,,0,0
61,AErestor05,lIg^ht45,Aphrodite,Erestor,239-817-5048,tmontgomery@yah00.org,0,0
62,EFingolfin54,Lig#ht65,Elizabeth,Fingolfin,308-262-2631,cromero@ma1lbox.com,1,1
63,JFili84,m(oNster80,Jenny,Fili,316-565-6725,cvance@yah00.net,0,0
64,MElwing76,secretl$Y71,Mary,Elwing,303-519-7267,cameplane@hotma1l.us,0,1
65,JAnnatar15,interEst^57,Juliet,Annatar,701-876-9623,thurley@somema1l.com,1,1
66,SBeregond41,baDly#16,Sandra,Beregond,239-615-5128,jhicks@somema1l.us,0,0
67,ATurambar69,p^iquE56,April,Turambar,304-934-9259,hdaugherty19@b1zmail.com,0,1
68,LIsildur79,a@ssErt05,Liv,Isildur,458-005-6817,whilebuild@everyma1l.com,0,0
69,CElrohir74,cAp)tain12,Chloe,Elrohir,406-597-0500,visionsin63@hotma1l.us,1,0
70,AFinwe22,Captai#n53,Audrey,Finwe,,it'sweb@yah00.biz,1,1
71,CMithrandir66,visiOns)05,Crystal,Mithrandir,603-274-3523,hbennett33@ma1lbox.com,0,0
72,JElrond95,libRary$10,Jade,Elrond,209-206-5285,tooklots69@gma1l.biz,0,0
73,BGandalf11,thr)Ough10,Bethany,Gandalf,262-040-7428,,0,1
74,NAnnatar80,s^Idekick34,Norah,Annatar,228-687-1647,inthis@b1zmail.net,0,0
75,LOakenshield72,secre(tLy89,Liv,Oakenshield,,dmathews@yah00.org,1,0
76,DBalin96,a#lwAys93,Delilah,Balin,205-377-3018,jhamilton20@gma1l.biz,1,1
77,BIdril08,librarY(78,Bethany,Idril,262-174-2971,moveddo@yah00.biz,1,0
78,SAngrod27,numb@Ers10,Sydney,Angrod,406-595-9220,ballenter48@yah00.com,1,0
79,FFerny66,p#rObably55,Felicity,Ferny,231-273-0720,jgeorge@somema1l.co.uk,1,0
80,VStormcrow11,asSert%98,Vanessa,Stormcrow,702-327-2003,whowho25@everyma1l.org,0,0
81,CCotton08,libRar)y87,Chelsea,Cotton,,,1,1
82,EMandos95,numbeR)s98,Ellen,Mandos,209-292-2792,towith@ma1l2u.com,0,1
83,RAldarion76,resc)uE25,Raven,Aldarion,207-193-7876,hknight@yah00.org,1,0
84,ADori86,v^isioNs94,Abby,Dori,513-490-3958,interestsofa@ma1lbox.us,0,1
85,MKili45,Th%rough12,Molly,Kili,,tryinghold@gma1l.org,1,1
86,ACurufin13,si!dekIck47,Audrey,Curufin,209-711-9525,rware@somema1l.org,0,1
87,GBolger29,visI)ons44,Gabbi,Bolger,401-603-0211,peopledad@b1zmail.org,0,1
88,SAldarion15,While*36,Sylvia,Aldarion,205-298-3795,or maybewrite@somema1l.com,0,0
89,JErkenbrand45,throW*62,Jessie,Erkenbrand,319-080-9566,automaticallyis@everyma1l.biz,0,0
90,ATreebeard52,eNter(67,Annabella,Treebeard,480-448-3979,bhyde@ma1lbox.net,0,1
91,JTook69,ba(dlY94,Juliet,Took,219-019-8081,vcontreras@ma1lbox.biz,0,1
92,SMorgoth16,capT(ain37,Savannah,Morgoth,215-830-7423,itends39@b1zmail.org,1,0
93,TDeagol85,wickeT*58,Trinity,Deagol,316-966-7170,rmann@gma1l.com,1,0
94,AEomer73,piQu^e50,Aileen,Eomer,201-768-1310,mpowers@yah00.net,1,0
95,SFinarfin71,C*omputer37,Sage,Finarfin,423-289-6548,gjarvis@somema1l.us,0,1
96,MFingolfin74,l!ibraRy36,Mackenzie,Fingolfin,319-464-1141,cflores@ma1l2u.co.uk,1,1
97,BKhamul77,liBr%ary91,Brooke,Khamul,225-887-8321,smokeout@ma1l2u.co.uk,1,0
98,BBracegirdle97,deMand%ed41,Bailey,Bracegirdle,,toto@yah00.com,1,0
99,ZStormcrow08,secretLy#59,Zelda,Stormcrow,,lperkins@ma1l2u.co.uk,1,0
100,RSackville54,i(ntereSt92,Raven,Sackville,505-584-5192,whitecomputer@hotma1l.net,0,0
